Id,Label,indegree,outdegree,Degree,pageranks,modularity_class
en.wikipedia.org/wiki/Rawatpur,,70,228,298,8e-06,31
en.wikipedia.org/w/index.php?title=Keshavpuram&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Ravidas_Puram_Shivaji_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
"en.wikipedia.org/wiki/The_Mall,_Kanpur",,68,248,316,8e-06,31
en.wikipedia.org/wiki/Lal_Bangla,,69,100,169,8e-06,31
en.wikipedia.org/wiki/Shyam_Nagar,,69,81,150,8e-06,31
en.wikipedia.org/wiki/Kanpur_Cantonment,,71,267,338,8e-06,31
"en.wikipedia.org/w/index.php?title=Indira_Nagar,_Kanpur&action=edit&redlink=1",,68,0,68,8e-06,31
en.wikipedia.org/wiki/Kalianpur,,70,507,577,8e-06,31
"en.wikipedia.org/wiki/Panki,_Kanpur",,73,223,296,8e-06,31
"en.wikipedia.org/wiki/Mandhana,_Kanpur",,70,111,181,8e-06,31
en.wikipedia.org/wiki/Chobepur,,70,115,185,8e-06,31
en.wikipedia.org/wiki/Armapur_Estate,,72,331,403,8e-06,31
en.wikipedia.org/wiki/New_Kanpur_City,,68,336,404,8e-06,31
"en.wikipedia.org/wiki/Barra,_Kanpur",,70,107,177,8e-06,31
en.wikipedia.org/wiki/Govind_Nagar,,71,225,296,8e-06,31
en.wikipedia.org/w/index.php?title=Gujaini&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Kidwai_Nagar,,71,107,178,8e-06,31
en.wikipedia.org/wiki/Ratan_Lal_Nagar,,70,90,160,8e-06,31
en.wikipedia.org/wiki/Naubasta,,69,139,208,8e-06,31
en.wikipedia.org/w/index.php?title=Yashoda_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Jarauli&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Tatya_Tope_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Hanspuram&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Shuklaganj,,70,246,316,8e-06,31
en.wikipedia.org/w/index.php?title=Gangotri_Township&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=The_Landmark_Hotel&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Hotel_Megadoot&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Hotel_Gaurav&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Hotel_Bliss&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Kanha_Continental&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Kanha_International&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Kesco,,68,233,301,8e-06,31
en.wikipedia.org/wiki/Kanpur_Metropolitan_Bus_Service,,94,379,473,8e-06,31
en.wikipedia.org/wiki/Chandari_Junction_railway_station,,71,418,489,8e-06,31
en.wikipedia.org/wiki/Govindpuri_railway_station,,72,446,518,8e-06,31
en.wikipedia.org/wiki/Kanpur_Anwarganj_railway_station,,94,302,396,8e-06,31
en.wikipedia.org/wiki/Lucknow-Kanpur_Suburban_Railway,,69,483,552,8e-06,31
en.wikipedia.org/wiki/Kanpur_Lucknow_Roadways_Service,,74,209,283,8e-06,31
en.wikipedia.org/wiki/Green_Park_Stadium,,70,359,429,8e-06,31
en.wikipedia.org/wiki/Kamla_Club_Ground,,68,238,306,8e-06,31
en.wikipedia.org/wiki/Kanpur_(Lok_Sabha_constituency),,93,547,640,8e-06,31
en.wikipedia.org/wiki/Akbarpur_(Lok_Sabha_constituency),,93,354,447,8e-06,31
en.wikipedia.org/wiki/Department_of_Industrial_and_Management_Engineering_IIT_Kanpur,,76,760,836,8e-06,31
en.wikipedia.org/wiki/Template:Kanpur_division_topics,,77,181,258,8e-06,31
en.wikipedia.org/wiki/Template_talk:Kanpur_division_topics,,54,58,112,7e-06,31
en.wikipedia.org/wiki/Special:EditPage/Template:Kanpur_division_topics,,53,0,53,7e-06,31
